service_id,service_name,cloud_provider,category,approval_status,approved_regions,service_owner,last_review_date,next_review_date,ea_approval,cada_approval,risk_level,approved_capabilities,approved_use_cases,prohibited_use_cases,required_controls,nist_functions,governance_decision,current_blockers,recommended_actions,action_owner,target_action_date,risk_acceptance_required,compensating_controls,description
SVC-001,Azure Key Vault,Azure,Security,Approved,East US;West US 2,Cloud Security,2026-05-20,2027-05-20,Approved,Approved,Low,Secrets Management;Key Management;Certificate Management;Key Rotation,Application Secrets;Encryption Key Storage;Certificate Lifecycle Management,Storing Unencrypted Credentials;Public Internet Exposure,RBAC;Private Endpoint;Audit Logging;Key Rotation;Encryption,Govern;Protect;Detect,Approved for Enterprise Use,No active blockers,Continue annual control review;Monitor service configuration standards,Cloud Security,2027-05-20,No,Not Required,Centralized secrets and encryption key management for approved enterprise workloads
SVC-002,Amazon S3,AWS,Storage,Approved,us-east-1;us-west-2,Cloud Platform,2026-01-15,2027-01-15,Approved,Approved,Medium,Object Storage;Encryption at Rest;Versioning;Lifecycle Management,Application Storage;Backup Storage;Approved Data Lakes,Public Buckets;Unencrypted Sensitive Data;Unsupported Regions,Encryption at Rest;Block Public Access;Versioning;Logging;Least Privilege,Govern;Protect;Detect,Approved with Standard Controls,No active blockers,Maintain encryption;Maintain public-access restrictions;Review lifecycle policies,Cloud Platform,2027-01-15,No,Not Required,Enterprise object storage approved when standard security controls are enabled
SVC-003,Google BigQuery,GCP,Analytics,Conditional,us-central1,Data Platform,2025-07-01,2026-07-01,Approved,Pending,High,Data Warehousing;SQL Analytics;Reporting;Approved Non-PII Workloads,Operational Analytics;Executive Reporting;Approved Non-PII Data Processing,Restricted PII;Student Records;Unsupported Regions,Encryption;IAM;Data Classification;Audit Logging;Data Loss Prevention,Govern;Protect;Detect,Conditional Approval — Additional Review Required,CADA approval pending;Review date expired;High-risk analytics use,Complete cloud architecture approval;Revalidate data classifications;Renew governance review,Data Platform,2026-08-15,Yes,Restrict workloads to non-PII data;Enable enhanced logging;Limit access to approved analytics teams,Enterprise analytics service requiring final cloud architecture approval and renewed review
SVC-004,Azure OpenAI Service,Azure,AI/ML,Under Review,East US 2,AI Governance,2026-06-10,2026-12-10,Pending,Pending,Critical,Internal Prototyping;Text Summarization;Knowledge Search,Internal Knowledge Search;Document Summarization;Approved Employee Productivity Use,Student PII;Automated Employment Decisions;Financial Decisions;Unapproved Public Chatbots,Private Endpoint;RBAC;Prompt Logging;Content Filtering;Data Classification;Human Oversight,Govern;Protect;Detect;Respond,Hold — Executive and Architecture Review Required,EA approval pending;CADA approval pending;Critical risk classification;AI use-case boundaries incomplete,Complete architecture review;Document approved and prohibited use cases;Define AI monitoring controls;Submit for executive risk review,AI Governance,2026-08-31,Yes,Limit access to pilot users;Prohibit sensitive data;Require human review;Enable prompt and response monitoring,Generative AI service undergoing architecture security and responsible AI review
SVC-005,Amazon RDS,AWS,Database,Approved,us-east-1,Database Engineering,2025-03-01,2026-03-01,Approved,Approved,Medium,Managed Relational Databases;Automated Backups;Encryption;High Availability,Approved Application Databases;Development Databases;Production Relational Workloads,Unencrypted Databases;Public Database Endpoints;Unsupported Engines,Encryption;Private Networking;Automated Backups;Audit Logging;Least Privilege,Govern;Protect;Recover,Remediation Required — Governance Review Expired,Annual governance review expired,Complete annual service review;Validate database engine versions;Confirm backup and encryption standards,Database Engineering,2026-08-10,No,Not Required,Managed relational database service approved with required security and resilience controls
SVC-006,Google Cloud Storage,GCP,Storage,Not Approved,europe-west1,Cloud Platform,2026-02-18,2027-02-18,Approved,Missing,High,No Enterprise Capabilities Approved,No Enterprise Use Cases Approved,All Production Workloads;Sensitive Data Workloads,Encryption;IAM;Approved Region;Logging;Data Classification,Govern;Protect,Not Approved — Deployment Prohibited,CADA approval missing;Region outside approved enterprise boundary;No enterprise capabilities approved,Move workload to an approved region;Complete cloud architecture review;Document business justification,Cloud Platform,2026-08-20,Yes,Restrict access;Prevent production deployment;Apply temporary monitoring until relocation,Cloud storage configuration outside the approved enterprise region and architecture boundary
SVC-007,Azure SQL Database,Azure,Database,Approved,East US;West US 2,Database Engineering,2026-04-01,2027-04-01,Approved,Approved,Medium,Managed SQL Database;Automated Backups;Encryption;High Availability,Business Applications;Approved Production Databases,Public Exposure;Unencrypted Sensitive Data;Unsupported Regions,Private Endpoint;Encryption;Audit Logging;Least Privilege;Backups,Govern;Protect;Recover,Approved with Standard Controls,No active blockers,Maintain required controls;Complete annual governance review,Database Engineering,2027-04-01,No,Not Required,Azure SQL Database is approved for documented enterprise use cases when required controls are implemented
SVC-008,Azure Functions,Azure,Compute,Approved,East US;West US 2,Cloud Engineering,2026-04-01,2027-04-01,Approved,Approved,Medium,Serverless Compute;Event Processing;API Integration,Automation;Event-Driven Applications;Approved APIs,Public Exposure;Unencrypted Sensitive Data;Unsupported Regions,Managed Identity;Private Endpoint;Logging;Secrets Management,Govern;Protect;Detect,Approved with Standard Controls,No active blockers,Maintain required controls;Complete annual governance review,Cloud Engineering,2027-04-01,No,Not Required,Azure Functions is approved for documented enterprise use cases when required controls are implemented
SVC-009,Azure Kubernetes Service,Azure,Containers,Approved,East US;West US 2,Container Platform,2026-04-01,2027-04-01,Approved,Approved,High,Container Orchestration;Autoscaling;Private Clusters,Approved Container Workloads;Internal Application Platforms,Public Exposure;Unencrypted Sensitive Data;Unsupported Regions,Private Cluster;RBAC;Image Scanning;Logging;Network Policies,Govern;Protect;Detect;Respond,Approved with Standard Controls,No active blockers,Maintain required controls;Complete annual governance review,Container Platform,2027-04-01,No,Not Required,Azure Kubernetes Service is approved for documented enterprise use cases when required controls are implemented
SVC-010,Microsoft Defender for Cloud,Azure,Security,Approved,East US;West US 2,Security Operations,2026-04-01,2027-04-01,Approved,Approved,Low,Cloud Security Posture;Threat Detection;Compliance Monitoring,Security Monitoring;Configuration Assessment;Risk Reporting,Public Exposure;Unencrypted Sensitive Data;Unsupported Regions,Logging;Alerting;RBAC;Continuous Monitoring,Govern;Identify;Protect;Detect;Respond,Approved with Standard Controls,No active blockers,Maintain required controls;Complete annual governance review,Security Operations,2027-04-01,No,Not Required,Microsoft Defender for Cloud is approved for documented enterprise use cases when required controls are implemented
SVC-011,Azure Monitor,Azure,Monitoring,Approved,East US;West US 2,Observability,2026-04-01,2027-04-01,Approved,Approved,Medium,Application Monitoring;Log Analytics;Alerting,Operational Monitoring;Security Telemetry;Performance Reporting,Public Exposure;Unencrypted Sensitive Data;Unsupported Regions,RBAC;Log Retention;Alerting;Data Classification,Detect;Respond,Approved with Standard Controls,No active blockers,Maintain required controls;Complete annual governance review,Observability,2027-04-01,No,Not Required,Azure Monitor is approved for documented enterprise use cases when required controls are implemented
SVC-012,Azure Blob Storage,Azure,Storage,Approved,East US;West US 2,Cloud Platform,2026-04-01,2027-04-01,Approved,Approved,Medium,Object Storage;Archiving;Lifecycle Management,Application Storage;Approved Backups;Document Storage,Public Exposure;Unencrypted Sensitive Data;Unsupported Regions,Encryption;Private Endpoint;Logging;Least Privilege,Govern;Protect;Detect,Approved with Standard Controls,No active blockers,Maintain required controls;Complete annual governance review,Cloud Platform,2027-04-01,No,Not Required,Azure Blob Storage is approved for documented enterprise use cases when required controls are implemented
